@feature
num,fun,str,gett,sett,acti,conclution
@data
round,function,split,gettime,setseconds,error,malicious
log,function,fontcolor,date,setseconds,error,malicious
asin,function,substring,date,setseconds,getitem,malicious
math,function,indexof,date,setseconds,getitem,malicious
math,parseint,tolowercase,date,setseconds,error,malicious
round,function,split,date,settime,getitem,malicious
tan,function,indexof,gettime,settime,getitem,malicious
min,function,indexof,date,settime,error,malicious
round,function,replace,gettime,settime,error,malicious
exp,function,item,date,settime,error,malicious
exp,function,indexof,date,settime,error,malicious
random,function,eval,gettime,settime,getitem,malicious
random,link,eval,date,settime,regexp,malicious
floor,function,eval,gettime,settime,regexp,malicious
log,function,eval,gettime,settime,error,malicious
random,function,replace,date,settime,regexp,malicious
math,function,bold,date,settime,regexp,malicious
log,function,string,date,settime,regexp,malicious
math,function,string,date,settime,apply,malicious
random,function,escape,date,settime,apply,malicious
random,function,string,date,settime,regexp,malicious
random,function,replace,date,settime,regexp,malicious
random,function,match,date,setdate,hasownproperty,benign
random,function,string,date,setdate,error,benign
math,parseint,test,date,setdate,call,benign
random,parseint,indexof,date,setdate,call,benign


