@feature
num,fun,str,gett,sett,acti,conclution
@data
min,function,test,gettime,setseconds,apply,malicious
tan,escape,replace,settime,setseconds,error,malicious
min,function,substring,date,setseconds,error,malicious
math,function,search,date,setseconds,apply,malicious
min,function,indexof,gettime,setseconds,apply,malicious
asin,link,test,gettime,setseconds,apply,malicious
min,function,split,gettime,setseconds,apply,malicious
min,function,fontcolor,date,setseconds,apply,malicious
asin,function,substring,date,setseconds,apply,malicious
math,function,indexof,date,setseconds,apply,malicious
math,parseint,tolowercase,date,setseconds,error,malicious
round,function,split,date,settime,apply,malicious
tan,function,indexof,gettime,setseconds,apply,malicious
min,function,indexof,date,setseconds,apply,malicious
min,function,replace,gettime,setseconds,apply,malicious
exp,function,item,date,setseconds,error,malicious
exp,function,indexof,date,settime,apply,malicious
min,function,test,gettime,settime,getitem,malicious
min,link,test,date,settime,apply,malicious
floor,function,test,gettime,settime,apply,malicious
log,function,eval,gettime,settime,error,malicious
random,function,replace,date,settime,apply,malicious
min,function,bold,date,settime,apply,malicious
min,function,string,gettime,settime,apply,malicious
min,function,string,gettime,settime,apply,malicious
random,function,escape,date,settime,apply,malicious
random,function,string,gettime,settime,apply,malicious
min,function,replace,date,settime,regexp,malicious
min,function,match,gettime,settime,hasownproperty,benign
min,function,test,gettime,settime,error,benign
math,parseint,test,gettime,settime,call,benign
random,parseint,indexof,date,setdate,call,benign
random,parse,indexof,gettime,settime,regexp,benign
random,function,substr,gettime,settime,regexp,benign
