@feature
num,fun,str,gett,sett,acti,conclution
@data
nul,function,split,nul,nul,nul,malicious
nul,function,fontcolor,date,nul,nul,malicious
asin,function,substring,date,nul,nul,malicious
math,function,indexof,date,nul,nul,malicious
math,parseint,tolowercase,date,setseconds,error,malicious
round,function,split,date,settime,nul,malicious
tan,function,indexof,nul,nul,nul,malicious
min,function,indexof,date,nul,nul,malicious
nul,function,replace,nul,nul,nul,malicious
exp,function,item,date,nul,error,malicious
exp,function,indexof,date,nul,nul,malicious
nul,function,nul,nul,nul,getitem,malicious
nul,link,nul,date,nul,nul,malicious
floor,function,nul,nul,nul,nul,malicious
log,function,eval,nul,nul,error,malicious
random,function,replace,date,nul,nul,malicious
nul,function,bold,date,nul,nul,malicious
nul,function,string,nul,nul,nul,malicious
nul,function,string,nul,nul,apply,malicious
random,function,escape,date,nul,apply,malicious
random,function,string,nul,nul,nul,malicious
nul,function,replace,date,nul,regexp,malicious
nul,function,match,nul,nul,hasownproperty,benign
nul,function,nul,nul,nul,error,benign
math,parseint,test,nul,nul,call,benign
random,parseint,indexof,date,setdate,call,benign

