@feature
num,fun,str,gett,sett,acti,conclution
@data
min,function,test,date,settime,apply,malicious
tan,escape,replace,settime,settime,error,malicious
tan,function,substring,date,settime,error,malicious
math,function,string,date,settime,apply,malicious
min,function,indexof,date,settime,apply,malicious
asin,link,substring,date,settime,apply,malicious
asin,function,split,date,settime,error,malicious
round,function,fontcolor,date,settime,error,malicious
asin,function,substring,date,settime,error,malicious
math,function,indexof,date,settime,error,malicious
math,parseint,tolowercase,date,setseconds,error,malicious
round,function,split,date,settime,error,malicious
tan,function,indexof,date,settime,error,malicious
min,function,indexof,date,settime,error,malicious
min,function,replace,date,settime,error,malicious
exp,function,item,date,settime,error,malicious
exp,function,indexof,date,setseconds,getitem,malicious
exp,function,split,date,setseconds,getitem,malicious
min,link,replace,date,setseconds,regexp,malicious
floor,function,replace,date,setseconds,regexp,malicious
log,function,eval,date,setseconds,regexp,malicious
random,function,replace,date,setseconds,regexp,malicious
log,function,bold,date,setseconds,regexp,malicious
math,function,string,date,setseconds,regexp,malicious
math,function,string,date,setseconds,apply,malicious
random,function,escape,date,setdate,apply,malicious
random,function,string,date,setdate,error,malicious
math,function,replace,date,setdate,hasownproperty,malicious
math,function,match,date,setdate,hasownproperty,benign
random,function,indexof,settime,setdate,call,benign
math,parseint,test,gettime,setdate,call,benign
random,parseint,indexof,date,setdate,call,benign
random,parse,indexof,gettime,setdate,regexp,benign
random,function,substr,gettime,settime,regexp,benign
