@feature
num,fun,gett,sett,acti,conclution

@data
log,function,nl,nl,Error,malicious
random,function,Date,nl,nl,malicious
nl,function,Date,nl,nl,malicious
nl,function,nl,nl,nl,malicious
nl,function,nl,nl,apply,malicious
random,function,Date,nl,apply,malicious
random,function,nl,nl,nl,malicious
nl,function,Date,nl,RegExp,malicious
nl,function,nl,nl,hasOwnProperty,benign
nl,function,nl,nl,error,benign
math,parseInt,nl,nl,call,benign
random,parseInt,Date,setdate,call,benign
random,parse,getTime,nl,RegExp,benign
random,function,getTime,setTime,RegExp,benign
nl,function,nl,nl,nl,benign
nl,parseInt,getTime,nl,Object,benign
math,parseInt,nl,nl,RegExp,benign
