@feature
num,fun,str,gett,sett,acti,conclution

@data
log,function,eval,null,null,Error,malicious
random,function,replace,Date,null,null,malicious
null,function,bold,Date,null,null,malicious
null,function,string,null,null,null,malicious
null,function,string,null,null,apply,malicious
random,function,escape,Date,null,apply,malicious
random,function,string,null,null,null,malicious
null,function,replace,Date,null,RegExp,malicious
null,function,match,null,null,hasOwnProperty,benign
null,function,null,null,null,error,benign
math,parseInt,test,null,null,call,benign
random,parseInt,indexOf,Date,setdate,call,benign
random,parse,indexOf,getTime,null,RegExp,benign
random,function,substr,getTime,setTime,RegExp,benign
null,function,null,null,null,null,benign
null,parseInt,split,getTime,null,Object,benign
math,parseInt,indexOf,null,null,RegExp,benign
