@feature
num,fun,str,gett,sett,acti,conclution
@data
math,function,split,date,settime,error,malicious
math,function,fontcolor,date,settime,error,malicious
asin,function,substring,date,settime,error,malicious
math,function,indexof,date,settime,error,malicious
math,parseint,tolowercase,date,setseconds,error,malicious
round,function,split,date,settime,error,malicious
tan,function,indexof,date,settime,error,malicious
min,function,indexof,date,settime,error,malicious
math,function,replace,date,settime,error,malicious
exp,function,item,date,settime,error,malicious
exp,function,indexof,date,settime,error,malicious
math,function,indexof,date,settime,getitem,malicious
math,link,indexof,date,settime,error,malicious
floor,function,indexof,date,settime,error,malicious
log,function,eval,date,settime,error,malicious
random,function,replace,date,settime,error,malicious
math,function,bold,date,settime,error,malicious
math,function,string,date,settime,error,malicious
math,function,string,date,settime,apply,malicious
random,function,escape,date,settime,apply,malicious
random,function,string,date,settime,error,malicious
math,function,replace,date,settime,regexp,malicious
math,function,match,date,settime,hasownproperty,benign
math,function,indexof,date,settime,error,benign
math,parseint,test,date,settime,call,benign
random,parseint,indexof,date,setdate,call,benign
