@feature
num,fun,str,gett,sett,acti,conclution
@data
asin,function,split,date,setseconds,apply,malicious
asin,function,fontcolor,date,setseconds,apply,malicious
asin,function,substring,date,setseconds,apply,malicious
math,function,indexof,date,setseconds,apply,malicious
math,parseint,tolowercase,date,setseconds,error,malicious
round,function,split,date,settime,error,malicious
tan,function,indexof,date,settime,error,malicious
min,function,indexof,date,settime,error,malicious
min,function,replace,date,settime,error,malicious
exp,function,item,date,settime,error,malicious
exp,function,indexof,date,settime,error,malicious
exp,function,indexof,date,settime,getitem,malicious
exp,link,indexof,date,settime,getitem,malicious
floor,function,indexof,date,settime,getitem,malicious
log,function,eval,date,settime,error,malicious
random,function,replace,date,settime,error,malicious
random,function,bold,date,settime,error,malicious
random,function,string,date,settime,error,malicious
random,function,string,date,settime,apply,malicious
random,function,escape,date,settime,apply,malicious
random,function,string,date,settime,apply,malicious
random,function,replace,date,settime,regexp,malicious
random,function,match,date,settime,hasownproperty,benign
random,function,match,date,settime,error,benign
math,parseint,test,date,settime,call,benign
random,parseint,indexof,date,setdate,call,benign
