@feature
num,fun,gett,sett,acti,conclution

@data
log,function,null,null,Error,malicious
random,function,Date,null,null,malicious
null,function,Date,null,null,malicious
null,function,null,null,null,malicious
null,function,null,null,apply,malicious
random,function,Date,null,apply,malicious
random,function,null,null,null,malicious
null,function,Date,null,RegExp,malicious
null,function,null,null,hasOwnProperty,benign
null,function,null,null,error,benign
math,parseInt,null,null,call,benign
random,parseInt,Date,setdate,call,benign
random,parse,getTime,null,RegExp,benign
random,function,getTime,setTime,RegExp,benign
null,function,null,null,null,benign
null,parseInt,getTime,null,Object,benign
math,parseInt,null,null,RegExp,benign
